number, picture_name, official_count, notes
1, E0071_TR0001_OB0031_T01_M02, 4,
2, E0089_TR0005_OB2257_T01_M13, 7,
3, E0089_TR0006_OB0366_T01_M16, 6,
4, E0098_TR0000_OB0098_T01_M04, 2,
5, E0206_TR0001_OB0020_T01_M10, 20,
6, E0222_TR0000_OB0077_T01_M16, 5/6, can be 5 with the bird flapping weirdly or 6 if they are next to each other
7, E0294_TR0000_OB0030_T01_M10, 1,
8, E0297_TR0000_OB0036_T01_M16, 1,
9, E0411_TR0001_OB0477_T01_M02, 2,
10, E0411_TR0001_OB0486_T01_M02, 2,
11, E0418_TR0000_OB1504_T01_M02, 2,
12, E0418_TR0000_OB1594_T01_M04, 4,
13, E0418_TR0000_OB1797_T01_M04, 9,
14, E0453_TR0001_OB0301_T01_M02, 15/16/17, will accept 15/16/17 as correct answers as it's hard to say
15, E0453_TR0001_OB0564_T01_M02, 23,
16, E0454_TR0000_OB0010_T01_M02, 2,